Timestamp,Age,Occupation,Did you vote in the last election?,"(If “No,” ask this question)

Why didn’t you vote? ",Why did you vote for your candidate?  ,Which party do you belong to?,Why do you think the NPP parliamentary candidate lost in the election?,Did you know about Frederick Obeng Adom’s projects as MP before the election?,Do you think Frederick Obeng Adom solved the community’s problems?  ,Why do you think Emmanuel Drah (NDC) won?,What did the NDC do better than the NPP?  ,Which of the former MPs would you say was the best performing MP for the constituency?,Community name:,What are the biggest problems in your community? (Pick 2 or more)  ,Who addressed these issues better during the election?,Suggestions for the team that wants to win in 2028,Do you think the election results were fair and reflect the people’s choice?
12/23/2024 17:41,,Unemployed ,Yes,,I liked their projects or promises,NDC,Can’t tell,"Yes, I knew about them, Boreholes ","He tried, but it wasn't enough",Can’t tell ,,,,"Jobs, Clean water",Neither,,Yes
12/23/2024 17:42,36,Farmer,Yes,,"I liked their projects or promises, They were active in the community",NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Salas Mensah,,"Help for farmers (tools, fertilizer), Bad roads, Jobs",Emmanuel Drah (NDC),Provide employment ,Yes
12/23/2024 17:42,30,Food vendor,Yes,,"I liked their projects or promises, They were active in the community",NDC,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better","They were better at reaching people, They made stronger promises",Assifu Bekoe,,"Jobs, Health Services",Emmanuel Drah (NDC),Good promises ,Yes
12/23/2024 17:44,,Food vendor ,Yes,,"I support their party, I liked their projects or promises",NDC,I don't know ,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,They were better at reaching people,Salas Mensah,,I don't know ,Emmanuel Drah (NDC),They'll never win,Yes
12/23/2024 17:46,22,Galamsey,Yes,,I support their party,NDC,,"Yes, I knew about them, The park","He tried, but it wasn't enough",People were not happy with the NPP government,"They were better at reaching people, They made stronger promises",,,"Jobs, Clean water",Frederick Obeng Adom (NPP),Depend on NDC government ,Yes
12/23/2024 17:46,20,,No,My name wasn’t on the voter list,,NDC,"People were not happy with the NPP government and wanted change, Didn’t get their personal gain ","I heard, but they didn't help me","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,,"Jobs, Schools and education, Clean water",Emmanuel Drah (NDC),Job crea,Yes
12/23/2024 17:46,55,Trader,No,Attended mothre's funeral,,NDC,He didn’t do enough for the community,,"No, he didn't solve major issues",,,Assifu Bekoe,,"Bad roads, Jobs, Health Services",Emmanuel Drah (NDC),Job opportunities,Yes
12/23/2024 17:47,,,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Salas Mensah,,"Jobs, Clean water",Emmanuel Drah (NDC),,Yes
12/23/2024 17:51,35,Trader,No,Sickness,,NDC,Can’t tell,"Yes, I knew about them, AstroTurf ","He tried, but it wasn't enough",The NDC’s promises were better,They made stronger promises,Frederick Adom,,"Help for farmers (tools, fertilizer), Jobs, Clean water",Emmanuel Drah (NDC),They should open job vacancies ,Yes
12/23/2024 17:52,45,Hairdresser ,Yes,,I liked their projects or promises,,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues","The NDC’s promises were better, We based it on mahama's previous policy ",They made stronger promises,,,"Jobs, Clean water",Emmanuel Drah (NDC),I don't know ,Yes
12/23/2024 17:53,27,Mechanic ,Yes,,They were active in the community,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","He tried, but it wasn't enough",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Salas Mensah,,Jobs,,,Dont know
12/23/2024 17:54,53,Teacher ,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, The NDC’s promises sounded better","Yes, I knew about them, Bore hole ","He tried, but it wasn't enough","People here always vote NDC, For change ",Because the economy ,Assifu Bekoe,,"Schools and education, Cost of living ",Emmanuel Drah (NDC),Reduce the cost of living and they were pompous ,Yes
12/23/2024 17:54,33,Food vendor ,Yes,,They were active in the community,NPP,He didn’t do enough for the community,"Yes, I knew about them","No, he didn't solve major issues",People here always vote NDC,Nothing much ,Frederick Adom,,"Jobs, Health Services",Frederick Obeng Adom (NPP),Job creation ,
12/23/2024 17:56,28,Farmer ,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues",We're trying him to see,They refused to continue the NDC unfinished projects ,Assifu Bekoe,,Clean water,Emmanuel Drah (NDC),They should focus on major issues ,Yes
12/23/2024 17:57,19,Seamstress ,No,I wasn’t interested,,NDC,The NDC’s promises sounded better,"Yes, I knew about them, Awards,AstroTurf ","He tried, but it wasn't enough",The NDC’s promises were better,Can’t tell,Frederick Adom,,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),Open job vacancies ,Yes
12/23/2024 17:57,78,Trader,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",He was more visible and approachable,They were better at reaching people,Assifu Bekoe,,"Help for farmers (tools, fertilizer), Jobs, Health Services",Emmanuel Drah (NDC),Nothing,Yes
12/23/2024 17:58,48,Farmer,Yes,,We wanted change for the country ,NDC,They destroyed our lands and I also wanted the best for the country ,"Yes, I knew about them, Does something only during election ","No, he didn't solve major issues",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,,"Help for farmers (tools, fertilizer), Jobs, Schools and education",Frederick Obeng Adom (NPP),Come out with a better policy ,Yes
12/23/2024 18:01,20,Trader ,No,I wasn’t interested,,,,,,,,,,,,,
12/23/2024 18:03,54,Trader ,Yes,,I support their party,NDC,The NDC’s promises sounded better,"I heard, but they didn't help me","No, he didn't solve major issues",The NDC’s promises were better,They made stronger promises,Assifu Bekoe,,"Help for farmers (tools, fertilizer), Jobs, Health Services",Emmanuel Drah (NDC),Job creation ,Yes
12/23/2024 18:03,,,Yes,,,,"People were not happy with the NPP government and wanted change, The leader didn't help","I heard, but they didn't help me","No, he didn't solve major issues",The NDC’s promises were better,"They were better at reaching people, They focused on key issues (farming, roads, schools)",Salas Mensah,,"Schools and education, Clean water, No lavatory ",Emmanuel Drah (NDC),They should do their homework well ,Yes
12/23/2024 18:03,25,,No,I wasn’t interested,,,,,,,,,,,,,
12/23/2024 18:03,48,Trader,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better, People here always vote NDC","They were better at reaching people, They focused on key issues (farming, roads, schools)",Assifu Bekoe,,"Jobs, Health Services",Emmanuel Drah (NDC),Correct their mistakes,Yes
12/23/2024 18:05,,Plumber,No,I had no transportation,,NDC,,,"He tried, but it wasn't enough",,,Salas Mensah,,Jobs,,,Yes
12/23/2024 18:08,27,Unemployed ,Yes,,They were active in the community,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed","The NDC’s promises were better, People were not happy with the NPP government","They were better at reaching people, They focused on key issues (farming, roads, schools)",Frederick Adom,,Jobs,Frederick Obeng Adom (NPP),Introduction of companies,Yes
12/23/2024 18:08,27,Mason ,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",He was more visible and approachable,They were better at reaching people,Assifu Bekoe,,"Schools and education, Health Services",Emmanuel Drah (NDC),Work well,Yes
12/23/2024 18:10,70,Trader,Yes,,Peace,NDC,He was betrayed ,"No, I didn't know about them","He tried, but it wasn't enough",People here always vote NDC,Doesn’t know,Frederick Adom,,"Help for farmers (tools, fertilizer), Jobs",Neither,,Yes
12/23/2024 18:10,62,Farmer,Yes,,I voted for change ,NDC,He didn’t do enough for the community,"Yes, I knew about them, Boreholes , astroturf","No, he didn't solve major issues","People were not happy with the NPP government, And we wanted change ","They focused on key issues (farming, roads, schools), The inflation were manageable ",Salas Mensah,,Clean water,Neither,Be able to manage the state’s affairs properly ,Yes
12/23/2024 18:11,46,Banker,Yes,,They were active in the community,NDC,The NDC’s promises sounded better,"I heard, but they didn't help me","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,,"Jobs, Schools and education, Health Services",Emmanuel Drah (NDC), More infrastructure ,Yes
12/23/2024 18:11,,Farmer ,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",People here always vote NDC,I just like Drah,,,Jobs,Emmanuel Drah (NDC),They'll never win ,Yes
12/23/2024 18:11,52,Farmer,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,"They were better at reaching people, They focused on key issues (farming, roads, schools)",Assifu Bekoe,,"Jobs, Clean water",Emmanuel Drah (NDC),Provision of more infrastructure,Yes
12/23/2024 18:14,45,Trader ,Yes,,,Can't tell,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,They were better at reaching people,Salas Mensah,,Clean water,Neither,Door to door camping and know what people needs,Dont know
12/23/2024 18:14,18,,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","Yes, he did most of the work needed",He was more visible and approachable,They made stronger promises,Frederick Adom,,"Jobs, Clean water",Frederick Obeng Adom (NPP),,Yes
12/23/2024 18:16,38,Farmer,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They were better at reaching people, They made stronger promises, They focused on key issues (farming, roads, schools)",Assifu Bekoe,,Jobs,Emmanuel Drah (NDC),Nothing,Yes
12/23/2024 18:16,21,Unemployed ,Yes,,"I support their party, I wanted change ",NDC,They did not do much for the community ,"Yes, I knew about them, Astroturf, electricity ","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better","They made stronger promises, They focused on key issues (farming, roads, schools)",Salas Mensah,,"Jobs, Clean water",Emmanuel Drah (NDC),Provide jobs and stop corruption ,Yes
12/23/2024 18:16,43,Farmer ,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"No, I didn't know about them","He tried, but it wasn't enough",He was more visible and approachable,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,,Jobs,Emmanuel Drah (NDC),Job creation ,Yes
12/23/2024 18:22,22,Trader,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better","They were better at reaching people, They focused on key issues (farming, roads, schools)",Assifu Bekoe,,Jobs,Emmanuel Drah (NDC),No idea,Yes
12/23/2024 18:22,,Mason,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","Yes, he did most of the work needed","The NDC’s promises were better, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Salas Mensah,,"Jobs, Health Services",Emmanuel Drah (NDC),,Yes
12/23/2024 18:25,25,Factory worker ,Yes,,I support their party,NDC,Just voted ,"No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,They made stronger promises,Assifu Bekoe,,"Help for farmers (tools, fertilizer), Jobs, Schools and education, Health Services",Emmanuel Drah (NDC),Job creation and amenities ,Yes
12/23/2024 18:27,,Business man,Yes,,"I support their party, I liked their projects or promises",NDC,Can't tell ,"No, I didn't know about them","No, he didn't solve major issues",He was more visible and approachable,Wanted change ,Assifu Bekoe,,"Clean water, Electricity ",Neither,Depends on the performance ,Yes
12/23/2024 18:27,33,Food vendor,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"Yes, I knew about them, Boreholes and street lights","No, he didn't solve major issues",The NDC’s promises were better,They made stronger promises,Salas Mensah,,"Jobs, Clean water, Lavatories ",Emmanuel Drah (NDC),Supply the community with their needs,Yes
12/23/2024 18:31,40,Trader,No,,,,,,,,,,,,,,
12/23/2024 18:33,36,Trader,Yes,,I support their party,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better","They were better at reaching people, They made stronger promises",Frederick Adom,,Jobs,Emmanuel Drah (NDC),Not sure they will win again,Yes
12/23/2024 18:37,41,Farmer,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them, The park ","No, he didn't solve major issues","People here always vote NDC, For change ",They made stronger promises,Assifu Bekoe,,"Bad roads, No lavatory ",Frederick Obeng Adom (NPP),To obey their promises ,Yes
12/23/2024 19:50,23,Mason,Yes,,For change ,NDC,"People were not happy with the NPP government and wanted change, Increased inflation ","No, I didn't know about them","No, he didn't solve major issues","People were not happy with the NPP government, For change ","They focused on key issues (farming, roads, schools)",Assifu Bekoe,Water works ,"Bad roads, Clean water",Frederick Obeng Adom (NPP),Come out with best policies ,Yes
12/23/2024 19:57,42,Mason,Yes,,"I support their party, For change ",NDC,"He didn’t do enough for the community, Destroyed our lands","No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better",They made stronger promises,Assifu Bekoe,Water works ,Schools and education,Frederick Obeng Adom (NPP),Manage the affairs of the state well,Yes
12/23/2024 20:04,48,Trader,Yes,,For change ,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","He tried, but it wasn't enough","People were not happy with the NPP government, How he can help us in our community ","They focused on key issues (farming, roads, schools)",Assifu Bekoe,Water works ,"Bad roads, Clean water, Rubbish containers",Emmanuel Drah (NDC),Provide jobs ,Yes
12/23/2024 20:11,42,Trader,Yes,,I support their party,NPP,The team didn’t help him,"Yes, I knew about them, Boreholes ","Yes, he did most of the work needed",People here always vote NDC,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Water works ,"Bad roads, Clean water",Emmanuel Drah (NDC),Come out with better policies ,Yes
12/23/2024 20:11,49,Farmer,Yes,,I liked their projects or promises,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","Yes, I knew about them","Yes, he did most of the work needed",The NDC’s promises were better,They made stronger promises,Salas Mensah,,"Bad roads, Jobs, Schools and education",Emmanuel Drah (NDC),,Yes
12/23/2024 20:15,38,Trader,Yes,,I liked their projects or promises,NPP,Lack of team support ,"Yes, I knew about them, AstroTurf ","He tried, but it wasn't enough",People here always vote NDC,None,Frederick Adom,Atohkrom,"Jobs, Clean water",Frederick Obeng Adom (NPP),There should be team support ,Yes
12/23/2024 20:16,30,Mason,Yes,,"I support their party, For change ",NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Boreholes,roads ","He tried, but it wasn't enough",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Amankwanor,Water works ,"Bad roads, Clean water, Rubbish container ",Emmanuel Drah (NDC),Come out with best policies ,Yes
12/23/2024 20:18,23,Farmer,Yes,,"I liked their projects or promises, They were active in the community",,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed","He was more visible and approachable, People here always vote NDC",,Salas Mensah,,"Bad roads, Jobs",Emmanuel Drah (NDC),,Yes
12/23/2024 20:21,37,Trader,Yes,,I liked their projects or promises,NPP,"People were not happy with the NPP government and wanted change, People vote for NDC here","Yes, I knew about them, Boreholes and AstruTarf","He tried, but it wasn't enough","People here always vote NDC, People were not happy with the NPP government",They made stronger promises,Frederick Adom,Attorkrom ,"Bad roads, Jobs, Schools and education, Clean water",Frederick Obeng Adom (NPP),Do what ever they promise ,Dont know
12/23/2024 20:24,48,Tailor,Yes,,"I support their party, I liked their projects or promises",NPP,"He didn’t do enough for the community, Lack of team support ","Yes, I knew about them, Boreholes, AstroTurf ","He tried, but it wasn't enough","People here always vote NDC, None",None,Salas Mensah,Atohkrom,"Jobs, Health Services, Clean water",Frederick Obeng Adom (NPP),There should be team support ,Yes
12/23/2024 20:25,45,Farmer,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them",,People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Salas Mensah,,"Help for farmers (tools, fertilizer), Bad roads, Jobs",Emmanuel Drah (NDC),,Yes
12/23/2024 20:27,35,Trader ,Yes,,"I support their party, For change and job creation ",NDC,"He didn’t do enough for the community, High inflation ","No, I didn't know about them, I heard, but they didn't help me","No, he didn't solve major issues","The NDC’s promises were better, Job creation ","They focused on key issues (farming, roads, schools), Low inflation ",Amankwanor,Water works ,"Bad roads, Clean water, Lavatory,rubbish containers ",Emmanuel Drah (NDC),Job creation ,Yes
12/23/2024 20:29,21,Unemployed ,Yes,,I support their party,NPP,"The NDC’s promises sounded better, People vote for NDC here","Yes, I knew about them","He tried, but it wasn't enough",People here always vote NDC,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,Amarhkrom,Jobs,Frederick Obeng Adom (NPP),Should apply more effort,Yes
12/23/2024 20:31,,Food vendor ,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","No, he didn't solve major issues",,"They were better at reaching people, They focused on key issues (farming, roads, schools)",Salas Mensah,Mame Dede ,"Help for farmers (tools, fertilizer), Schools and education, Clean water",Frederick Obeng Adom (NPP),,Yes
12/23/2024 20:34,27,Seamstress ,No,"I had no transportation, My name wasn’t on the voter list",They were active in the community,NDC,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, People were not happy with the NPP government","They focused on key issues (farming, roads, schools)",Salas Mensah,,"Help for farmers (tools, fertilizer), Bad roads, Jobs",Emmanuel Drah (NDC),,Yes
